,moviename,year,description,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
105,For a Few Dollars More,1965,Two bounty hunters with the same intentions team up to track down a Western outlaw.,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2,"200,685",,,,106
106,Monty Python and the Holy Grail,1975,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Terry Gilliam (dir.), Graham Chapman, John Cleese",8.2,"452,911",,,,107
107,The Apartment,1960,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,"140,066",,,,108
108,Metropolis,1927,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,"140,128",,,,109
109,L.A. Confidential,1997,"As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.","Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2,"485,698",,,,110
110,A Separation,2011,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2,"191,404",,,,111
111,Indiana Jones and the Last Crusade,1989,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against","Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2,"621,288",,,,112
112,Rashômon,1950,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.2,"130,907",,,,113
113,Up,2009,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2,"826,309",90%,3.8/5,"1,203,115",114
114,All About Eve,1950,An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2,"105,399",,,,115
115,Batman Begins,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2,"1,170,604",,,,116
116,Yojimbo,1961,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.2,"94,732",96%,4.4/5,"42,248",117
117,Some Like It Hot,1959,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2,"215,642",,,,118
118,Unforgiven,1992,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.","Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2,"334,484",,,,119
119,Downfall,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2,"299,161",94%,4.2/5,"70,245",120
120,Die Hard,1988,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2,"708,329",,,,121
121,The Treasure of the Sierra Madre,1948,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.","John Huston (dir.), Humphrey Bogart, Walter Huston",8.2,"99,851",,,,122
